"date","site","island","stratum","month_survey","s_year","s_month"
"2017-11-30","LH_SAV_2","LH","SAV","2017-12","2017","12"
"2017-11-30","LH_WAT_1","LH","WAT","2017-12","2017","12"
"2017-11-30","LH_WAT_2","LH","WAT","2017-12","2017","12"
"2018-01-10","DI_SAV_1","DI","SAV","2018-01","2018","01"
"2018-01-10","DI_SAV_2","DI","SAV","2018-01","2018","01"
"2018-01-10","DI_WAT_1","DI","WAT","2018-01","2018","01"
"2018-01-10","DI_WAT_2","DI","WAT","2018-01","2018","01"
"2018-01-11","FI_SAV_1","FI","SAV","2018-01","2018","01"
"2018-01-11","FI_SAV_2","FI","SAV","2018-01","2018","01"
"2018-01-11","FI_WAT_1","FI","WAT","2018-01","2018","01"
"2018-01-11","FI_WAT_2","FI","WAT","2018-01","2018","01"
"2018-01-11","LH_SAV_1","LH","SAV","2018-01","2018","01"
"2018-01-11","LH_SAV_2","LH","SAV","2018-01","2018","01"
"2018-01-11","LH_WAT_1","LH","WAT","2018-01","2018","01"
"2018-01-11","LH_WAT_2","LH","WAT","2018-01","2018","01"
"2018-02-06","DI_SAV_1","DI","SAV","2018-02","2018","02"
"2018-02-06","DI_SAV_2","DI","SAV","2018-02","2018","02"
"2018-02-06","DI_WAT_1","DI","WAT","2018-02","2018","02"
"2018-02-06","DI_WAT_2","DI","WAT","2018-02","2018","02"
"2018-02-08","FI_SAV_1","FI","SAV","2018-02","2018","02"
"2018-02-08","FI_SAV_2","FI","SAV","2018-02","2018","02"
"2018-02-08","FI_WAT_1","FI","WAT","2018-02","2018","02"
"2018-02-08","FI_WAT_2","FI","WAT","2018-02","2018","02"
"2018-02-08","LH_SAV_1","LH","SAV","2018-02","2018","02"
"2018-02-08","LH_SAV_2","LH","SAV","2018-02","2018","02"
"2018-02-08","LH_WAT_1","LH","WAT","2018-02","2018","02"
"2018-02-08","LH_WAT_2","LH","WAT","2018-02","2018","02"
"2018-03-12","FI_SAV_1","FI","SAV","2018-03","2018","03"
"2018-03-12","FI_SAV_2","FI","SAV","2018-03","2018","03"
"2018-03-12","FI_WAT_1","FI","WAT","2018-03","2018","03"
"2018-03-12","FI_WAT_2","FI","WAT","2018-03","2018","03"
"2018-03-12","LH_SAV_1","LH","SAV","2018-03","2018","03"
"2018-03-12","LH_SAV_2","LH","SAV","2018-03","2018","03"
"2018-03-12","LH_WAT_1","LH","WAT","2018-03","2018","03"
"2018-03-12","LH_WAT_2","LH","WAT","2018-03","2018","03"
"2018-03-14","DI_SAV_1","DI","SAV","2018-03","2018","03"
"2018-03-14","DI_SAV_2","DI","SAV","2018-03","2018","03"
"2018-03-14","DI_WAT_1","DI","WAT","2018-03","2018","03"
"2018-03-14","DI_WAT_2","DI","WAT","2018-03","2018","03"
"2018-04-10","FI_SAV_1","FI","SAV","2018-04","2018","04"
"2018-04-10","FI_SAV_2","FI","SAV","2018-04","2018","04"
"2018-04-10","FI_WAT_1","FI","WAT","2018-04","2018","04"
"2018-04-10","FI_WAT_2","FI","WAT","2018-04","2018","04"
"2018-04-10","LH_SAV_1","LH","SAV","2018-04","2018","04"
"2018-04-10","LH_SAV_2","LH","SAV","2018-04","2018","04"
"2018-04-10","LH_WAT_1","LH","WAT","2018-04","2018","04"
"2018-04-10","LH_WAT_2","LH","WAT","2018-04","2018","04"
"2018-04-17","DI_SAV_1","DI","SAV","2018-04","2018","04"
"2018-04-17","DI_SAV_2","DI","SAV","2018-04","2018","04"
"2018-04-17","DI_WAT_1","DI","WAT","2018-04","2018","04"
"2018-04-17","DI_WAT_2","DI","WAT","2018-04","2018","04"
"2018-05-07","DI_SAV_1","DI","SAV","2018-05","2018","05"
"2018-05-07","DI_SAV_2","DI","SAV","2018-05","2018","05"
"2018-05-07","DI_WAT_1","DI","WAT","2018-05","2018","05"
"2018-05-07","DI_WAT_2","DI","WAT","2018-05","2018","05"
"2018-05-07","FC_SAV_1","FC","SAV","2018-05","2018","05"
"2018-05-07","FC_SAV_2","FC","SAV","2018-05","2018","05"
"2018-05-07","FC_WAT_1","FC","WAT","2018-05","2018","05"
"2018-05-07","FC_WAT_2","FC","WAT","2018-05","2018","05"
"2018-05-08","FI_SAV_1","FI","SAV","2018-05","2018","05"
"2018-05-08","FI_SAV_2","FI","SAV","2018-05","2018","05"
"2018-05-08","FI_WAT_1","FI","WAT","2018-05","2018","05"
"2018-05-08","FI_WAT_2","FI","WAT","2018-05","2018","05"
"2018-05-08","LH_SAV_1","LH","SAV","2018-05","2018","05"
"2018-05-08","LH_SAV_2","LH","SAV","2018-05","2018","05"
"2018-05-08","LH_WAT_1","LH","WAT","2018-05","2018","05"
"2018-05-08","LH_WAT_2","LH","WAT","2018-05","2018","05"
"2018-06-05","DI_SAV_1","DI","SAV","2018-06","2018","06"
"2018-06-05","DI_SAV_2","DI","SAV","2018-06","2018","06"
"2018-06-05","DI_WAT_1","DI","WAT","2018-06","2018","06"
"2018-06-05","DI_WAT_2","DI","WAT","2018-06","2018","06"
"2018-06-05","FC_SAV_1","FC","SAV","2018-06","2018","06"
"2018-06-05","FC_SAV_2","FC","SAV","2018-06","2018","06"
"2018-06-05","FC_WAT_1","FC","WAT","2018-06","2018","06"
"2018-06-05","FC_WAT_2","FC","WAT","2018-06","2018","06"
"2018-06-06","FI_SAV_1","FI","SAV","2018-06","2018","06"
"2018-06-06","FI_SAV_2","FI","SAV","2018-06","2018","06"
"2018-06-06","FI_WAT_1","FI","WAT","2018-06","2018","06"
"2018-06-06","FI_WAT_2","FI","WAT","2018-06","2018","06"
"2018-06-06","LH_SAV_1","LH","SAV","2018-06","2018","06"
"2018-06-06","LH_SAV_2","LH","SAV","2018-06","2018","06"
"2018-06-06","LH_WAT_1","LH","WAT","2018-06","2018","06"
"2018-06-06","LH_WAT_2","LH","WAT","2018-06","2018","06"
"2018-07-05","FI_SAV_1","FI","SAV","2018-07","2018","07"
"2018-07-05","FI_SAV_2","FI","SAV","2018-07","2018","07"
"2018-07-05","FI_WAT_1","FI","WAT","2018-07","2018","07"
"2018-07-05","FI_WAT_2","FI","WAT","2018-07","2018","07"
"2018-07-05","LH_SAV_1","LH","SAV","2018-07","2018","07"
"2018-07-05","LH_SAV_2","LH","SAV","2018-07","2018","07"
"2018-07-05","LH_WAT_1","LH","WAT","2018-07","2018","07"
"2018-07-05","LH_WAT_2","LH","WAT","2018-07","2018","07"
"2018-07-09","DI_SAV_1","DI","SAV","2018-07","2018","07"
"2018-07-09","DI_SAV_2","DI","SAV","2018-07","2018","07"
