"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Macrothrix",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Moina",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Monospilus",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Picripleuroxus",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Pleuroxus",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Pseudochydorus",1,1,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Scaphloberis",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Sida",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Simocephalus",1,1,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","HARPACTICOIDS","HARPACTICOIDS",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MACROZOOPLANKTON","Americorophium",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MACROZOOPLANKTON","Annelid",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MACROZOOPLANKTON","Baby Clam",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MACROZOOPLANKTON","Baby snail",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MACROZOOPLANKTON","Clam",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MACROZOOPLANKTON","Corophium spp.",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MACROZOOPLANKTON","Cumacean",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MACROZOOPLANKTON","Fish",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MACROZOOPLANKTON","Fish eggs",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MACROZOOPLANKTON","Gammarus spp.",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MACROZOOPLANKTON","Insect larvae",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MACROZOOPLANKTON","Isopod",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MACROZOOPLANKTON","Larval Fish",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MACROZOOPLANKTON","Mysids",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MACROZOOPLANKTON","Shrimp",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MACROZOOPLANKTON","Snail",0,0,75,0.5,75,0.4
